Subject,X,Y,Z,Pressure,GripAngle,Timestamp,Test_ID,PWP
41,199,202,0,202,860,1732464838,0,0
41,199,202,0,276,860,1732464845,0,0
41,199,202,12,328,860,1732464852,0,0
41,199,202,0,373,860,1732464859,0,0
41,199,203,0,409,860,1732464866,0,0
41,199,203,0,436,860,1732464873,0,0
41,199,203,0,457,860,1732464881,0,0
41,199,203,0,479,860,1732464888,0,0
41,199,203,0,501,860,1732464895,0,0
41,199,203,0,521,860,1732464902,0,0
41,200,203,0,538,860,1732464909,0,0
41,200,203,0,548,860,1732464916,0,0
41,200,203,0,559,860,1732464923,0,0
41,201,203,0,565,870,1732464930,0,0
41,201,203,0,568,870,1732464937,0,0
41,201,203,0,574,870,1732464944,0,0
41,202,202,0,578,870,1732464951,0,0
41,202,202,0,580,860,1732464958,0,0
41,203,202,0,587,870,1732464965,0,0
41,203,202,0,594,860,1732464972,0,0
41,203,202,0,599,860,1732464979,0,0
41,203,202,0,608,860,1732464986,0,0
41,203,201,0,611,860,1732464993,0,0
41,204,201,0,616,850,1732465000,0,0
41,204,201,0,620,860,1732465007,0,0
41,204,200,0,621,850,1732465014,0,0
41,205,200,0,627,850,1732465021,0,0
41,205,199,0,625,850,1732465028,0,0
41,205,199,0,627,850,1732465035,0,0
41,205,199,0,629,850,1732465042,0,0
41,205,199,0,631,850,1732465049,0,0
41,205,198,0,633,850,1732465056,0,0
41,206,198,0,637,850,1732465064,0,0
41,206,198,0,628,850,1732465071,0,0
41,206,197,0,641,850,1732465078,0,0
41,206,197,0,644,850,1732465085,0,0
41,206,197,0,649,860,1732465092,0,0
41,206,196,0,645,860,1732465099,0,0
41,207,196,0,657,860,1732465106,0,0
41,207,196,0,660,860,1732465113,0,0
41,207,196,0,666,860,1732465120,0,0
41,207,195,0,668,860,1732465127,0,0
41,207,195,0,669,860,1732465134,0,0
41,207,194,0,675,860,1732465141,0,0
41,207,194,0,675,860,1732465148,0,0
41,207,194,0,675,860,1732465155,0,0
41,207,193,0,676,870,1732465162,0,0
41,207,193,0,676,870,1732465169,0,0
41,207,193,0,671,870,1732465176,0,0
41,207,193,0,680,870,1732465183,0,0
41,207,192,0,678,880,1732465190,0,0
41,206,192,0,682,880,1732465197,0,0
41,206,192,0,684,880,1732465204,0,0
41,206,192,0,684,880,1732465211,0,0
41,206,191,0,687,880,1732465218,0,0
41,206,191,0,685,880,1732465225,0,0
41,206,191,0,684,880,1732465232,0,0
41,206,190,0,688,880,1732465239,0,0
41,206,190,0,685,880,1732465247,0,0
41,205,190,0,689,880,1732465254,0,0
41,205,190,0,690,880,1732465261,0,0
41,205,190,0,689,880,1732465268,0,0
41,205,189,0,693,890,1732465275,0,0
41,205,189,0,691,890,1732465282,0,0
41,205,189,0,691,890,1732465289,0,0
41,204,189,0,696,880,1732465296,0,0
41,204,188,0,693,880,1732465303,0,0
41,204,188,0,693,880,1732465310,0,0
41,204,188,0,694,880,1732465317,0,0
41,204,188,0,693,880,1732465324,0,0
41,204,187,0,696,880,1732465331,0,0
41,203,187,0,696,870,1732465338,0,0
41,203,187,0,693,870,1732465345,0,0
41,203,187,0,698,860,1732465352,0,0
