Subject,X,Y,Z,Pressure,GripAngle,Timestamp,Test_ID,PWP
39,274,200,0,28,1050,0,0,1
39,274,200,0,46,1070,9,0,1
39,275,200,0,64,1070,18,0,1
39,275,200,12,73,1070,27,0,1
39,276,200,0,75,1070,36,0,1
39,277,200,12,79,1070,45,0,1
39,278,200,0,77,1070,54,0,1
39,279,200,0,77,1070,63,0,1
39,280,200,0,78,1070,72,0,1
39,281,200,0,80,1060,81,0,1
39,281,200,0,97,1070,90,0,1
39,282,199,0,125,1070,99,0,1
39,283,198,0,145,1070,108,0,1
39,283,197,0,166,1070,117,0,1
39,283,197,0,181,1070,126,0,1
39,284,196,0,194,1080,135,0,1
39,284,195,0,209,1080,144,0,1
39,284,194,0,218,1080,153,0,1
39,284,194,0,227,1080,162,0,1
39,283,193,0,232,1080,171,0,1
39,283,193,0,235,1080,180,0,1
39,283,192,0,235,1070,189,0,1
39,283,192,0,235,1070,198,0,1
39,283,191,0,236,1070,207,0,1
39,283,191,0,237,1070,216,0,1
39,283,190,0,237,1080,225,0,1
39,283,189,0,237,1080,234,0,1
39,282,188,0,238,1080,243,0,1
39,282,188,0,243,1080,252,0,1
39,282,187,0,270,1080,261,0,1
39,281,186,0,285,1080,270,0,1
39,281,186,0,291,1080,279,0,1
39,280,185,0,305,1080,288,0,1
39,279,185,0,323,1090,297,0,1
39,279,184,0,334,1080,306,0,1
39,278,184,0,345,1090,315,0,1
39,277,184,0,349,1090,324,0,1
39,276,184,0,351,1100,333,0,1
39,275,184,0,351,1090,342,0,1
39,275,184,0,353,1090,351,0,1
39,274,184,0,353,1090,360,0,1
39,274,184,0,353,1090,369,0,1
39,273,184,0,350,1100,378,0,1
39,272,184,0,350,1100,387,0,1
39,271,184,0,348,1100,396,0,1
39,271,184,0,347,1090,405,0,1
39,270,183,0,343,1090,414,0,1
39,269,183,0,333,1100,423,0,1
39,268,183,0,318,1100,432,0,1
39,267,182,0,303,1120,441,0,1
39,267,182,0,291,1120,450,0,1
39,266,181,0,283,1100,459,0,1
39,265,181,0,277,1100,468,0,1
39,264,181,0,271,1100,478,0,1
39,262,181,0,267,1100,487,0,1
39,261,182,0,264,1120,496,0,1
39,260,182,0,262,1100,505,0,1
39,258,182,0,264,1100,514,0,1
39,257,182,0,264,1100,523,0,1
39,256,183,0,267,1100,532,0,1
39,254,183,0,273,1100,541,0,1
39,252,183,0,279,1100,550,0,1
39,250,183,0,287,1090,559,0,1
39,248,183,0,291,1070,568,0,1
39,246,183,0,298,1050,577,0,1
39,245,183,0,305,1060,586,0,1
39,243,182,0,316,1080,595,0,1
39,242,182,0,321,1090,604,0,1
39,242,182,0,321,1120,613,0,1
39,241,183,0,320,1110,622,0,1
39,240,184,0,319,1110,631,0,1
39,239,185,0,318,1110,640,0,1
39,239,186,0,318,1110,649,0,1
39,238,187,0,318,1110,658,0,1
